example_id                                                             | status  | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:2:1]         | passed  | 0.02378 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.01518 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.00974 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.03977 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.03338 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.10735 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.03181 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.0057 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.00485 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.00562 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.00963 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.01036 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.00482 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.01038 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.03018 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00248 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed  | 0.00998 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.09063 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.03872 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.07882 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | failed  | 0.00979 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | failed  | 0.0114 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | failed  | 0.00913 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | failed  | 0.00849 seconds |
./spec/models/delivery_time_slot_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.65301 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.66564 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.07829 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.0407 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.05606 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.05745 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.37852 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.02862 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.01461 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.19652 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed  | 2.61 seconds    |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed  | 0.11116 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed  | 0.10579 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed  | 0.0944 seconds  |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed  | 0.32114 seconds |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed  | 0.08684 seconds |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | failed  | 3.26 seconds    |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed  | 0.0565 seconds  |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed  | 0.04378 seconds |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed  | 0.04358 seconds |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed  | 0.04063 seconds |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed  | 0.04115 seconds |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed  | 0.0972 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed  | 0.09771 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed  | 0.16498 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed  | 0.09711 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed  | 0.17995 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed  | 0.10508 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed  | 0.09941 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed  | 0.10033 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | passed  | 0.09341 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | passed  | 0.08047 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed  | 0.07006 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | passed  | 0.08258 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | passed  | 0.13065 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | passed  | 0.12753 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:3]                           | passed  | 0.13011 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:1]                             | passed  | 0.10796 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:2]                             | passed  | 0.06681 seconds |
./spec/requests/checkouts_spec.rb[1:2:4:1]                             | passed  | 0.06622 seconds |
./spec/requests/checkouts_spec.rb[1:2:5:1]                             | passed  | 0.13348 seconds |
./spec/requests/checkouts_spec.rb[1:2:6:1:1]                           | passed  | 0.06851 seconds |
./spec/requests/checkouts_spec.rb[1:2:6:2:1]                           | passed  | 0.09281 seconds |
./spec/requests/checkouts_spec.rb[1:2:7:1]                             | passed  | 0.08662 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:1:1]                           | passed  | 0.06846 seconds |
./spec/requests/checkouts_spec.rb[1:2:8:2:1:1]                         | passed  | 0.07545 seconds |
./spec/requests/checkouts_spec.rb[1:3:1:1]                             | passed  | 0.05316 seconds |
./spec/requests/checkouts_spec.rb[1:3:1:2]                             | passed  | 0.04879 seconds |
./spec/requests/checkouts_spec.rb[1:4:1]                               | passed  | 0.07448 seconds |
./spec/requests/checkouts_spec.rb[1:4:2]                               | passed  | 0.06025 seconds |
./spec/requests/checkouts_spec.rb[1:5:1]                               | passed  | 0.07822 seconds |
./spec/requests/current_order_tracking_spec.rb[1:1]                    | passed  | 0.07965 seconds |
./spec/requests/current_order_tracking_spec.rb[1:2:1]                  | failed  | 0.00687 seconds |
./spec/requests/home_spec.rb[1:1]                                      | failed  | 0.00258 seconds |
./spec/requests/home_spec.rb[1:2:1]                                    | failed  | 0.00273 seconds |
./spec/requests/locale_spec.rb[1:1:1:1]                                | passed  | 0.00536 seconds |
./spec/requests/locale_spec.rb[1:1:2:1]                                | passed  | 0.00559 seconds |
./spec/requests/locale_spec.rb[1:2:1:1]                                | passed  | 0.0056 seconds  |
./spec/requests/locale_spec.rb[1:2:2:1]                                | passed  | 0.01304 seconds |
./spec/requests/locale_spec.rb[1:3:1]                                  | passed  | 0.00521 seconds |
./spec/requests/orders_ability_spec.rb[1:1]                            | failed  | 0.002 seconds   |
./spec/requests/orders_ability_spec.rb[1:2:1:1]                        | failed  | 0.00741 seconds |
